,ws,Technology,par,unit,est,year,val
181,ptes seasonal,pit thermal energy storage [ptes],variable o&m,EUR_2020/MWh,lower,2050,0.0
182,ptes seasonal,pit thermal energy storage [ptes],variable o&m,EUR_2020/MWh,upper,2020,0.0
183,ptes seasonal,pit thermal energy storage [ptes],variable o&m,EUR_2020/MWh,upper,2050,0.0
184,ptes seasonal,pit thermal energy storage [ptes],variable o&m,EUR_2020/MWh,control,2020,0.0
185,ptes seasonal,pit thermal energy storage [ptes],variable o&m,EUR_2020/MWh,control,2025,0.0
186,ptes seasonal,pit thermal energy storage [ptes],variable o&m,EUR_2020/MWh,control,2030,0.0
187,ptes seasonal,pit thermal energy storage [ptes],variable o&m,EUR_2020/MWh,control,2040,0.0
188,ptes seasonal,pit thermal energy storage [ptes],variable o&m,EUR_2020/MWh,control,2050,0.0
189,ptes seasonal,pit thermal energy storage [ptes],"max. storage temperature, hot",C,lower,2020,90.0
190,ptes seasonal,pit thermal energy storage [ptes],"max. storage temperature, hot",C,lower,2050,90.0
191,ptes seasonal,pit thermal energy storage [ptes],"max. storage temperature, hot",C,upper,2020,90.0
192,ptes seasonal,pit thermal energy storage [ptes],"max. storage temperature, hot",C,upper,2050,90.0
193,ptes seasonal,pit thermal energy storage [ptes],"max. storage temperature, hot",C,control,2020,90.0
194,ptes seasonal,pit thermal energy storage [ptes],"max. storage temperature, hot",C,control,2025,90.0
195,ptes seasonal,pit thermal energy storage [ptes],"max. storage temperature, hot",C,control,2030,90.0
196,ptes seasonal,pit thermal energy storage [ptes],"max. storage temperature, hot",C,control,2035,90.0
197,ptes seasonal,pit thermal energy storage [ptes],"max. storage temperature, hot",C,control,2040,90.0
198,ptes seasonal,pit thermal energy storage [ptes],"max. storage temperature, hot",C,control,2050,90.0
209,ptes seasonal,pit thermal energy storage [ptes],"storage temperature, discharged",C,lower,2020,35.0
210,ptes seasonal,pit thermal energy storage [ptes],"storage temperature, discharged",C,lower,2050,35.0
211,ptes seasonal,pit thermal energy storage [ptes],"storage temperature, discharged",C,upper,2020,35.0
212,ptes seasonal,pit thermal energy storage [ptes],"storage temperature, discharged",C,upper,2050,35.0
213,ptes seasonal,pit thermal energy storage [ptes],"storage temperature, discharged",C,control,2020,35.0
214,ptes seasonal,pit thermal energy storage [ptes],"storage temperature, discharged",C,control,2025,35.0
215,ptes seasonal,pit thermal energy storage [ptes],"storage temperature, discharged",C,control,2030,35.0
216,ptes seasonal,pit thermal energy storage [ptes],"storage temperature, discharged",C,control,2035,35.0
217,ptes seasonal,pit thermal energy storage [ptes],"storage temperature, discharged",C,control,2040,35.0
218,ptes seasonal,pit thermal energy storage [ptes],"storage temperature, discharged",C,control,2050,35.0
219,ptes seasonal,pit thermal energy storage [ptes],storage volume for one unit,meter**3,lower,2020,70000.0
220,ptes seasonal,pit thermal energy storage [ptes],storage volume for one unit,meter**3,lower,2050,70000.0
221,ptes seasonal,pit thermal energy storage [ptes],storage volume for one unit,meter**3,upper,2020,70000.0
222,ptes seasonal,pit thermal energy storage [ptes],storage volume for one unit,meter**3,upper,2050,70000.0
223,ptes seasonal,pit thermal energy storage [ptes],storage volume for one unit,meter**3,control,2020,70000.0
224,ptes seasonal,pit thermal energy storage [ptes],storage volume for one unit,meter**3,control,2025,70000.0
225,ptes seasonal,pit thermal energy storage [ptes],storage volume for one unit,meter**3,control,2030,70000.0
226,ptes seasonal,pit thermal energy storage [ptes],storage volume for one unit,meter**3,control,2035,70000.0
227,ptes seasonal,pit thermal energy storage [ptes],storage volume for one unit,meter**3,control,2040,70000.0
228,ptes seasonal,pit thermal energy storage [ptes],storage volume for one unit,meter**3,control,2050,70000.0
229,large hot water tank,large-scale hot water tanks (steel),charge efficiency,percent,lower,2020,100.0
230,large hot water tank,large-scale hot water tanks (steel),charge efficiency,percent,lower,2050,100.0
231,large hot water tank,large-scale hot water tanks (steel),charge efficiency,percent,upper,2020,100.0
232,large hot water tank,large-scale hot water tanks (steel),charge efficiency,percent,upper,2050,100.0
233,large hot water tank,large-scale hot water tanks (steel),charge efficiency,percent,control,2015,100.0
234,large hot water tank,large-scale hot water tanks (steel),charge efficiency,percent,control,2020,100.0
235,large hot water tank,large-scale hot water tanks (steel),charge efficiency,percent,control,2030,100.0
236,large hot water tank,large-scale hot water tanks (steel),charge efficiency,percent,control,2040,100.0
237,large hot water tank,large-scale hot water tanks (steel),charge efficiency,percent,control,2050,100.0
238,large hot water tank,large-scale hot water tanks (steel),discharge efficiency,percent,lower,2020,100.0
239,large hot water tank,large-scale hot water tanks (steel),discharge efficiency,percent,lower,2050,100.0
240,large hot water tank,large-scale hot water tanks (steel),discharge efficiency,percent,upper,2020,100.0
241,large hot water tank,large-scale hot water tanks (steel),discharge efficiency,percent,upper,2050,100.0
242,large hot water tank,large-scale hot water tanks (steel),discharge efficiency,percent,control,2015,100.0
243,large hot water tank,large-scale hot water tanks (steel),discharge efficiency,percent,control,2020,100.0
244,large hot water tank,large-scale hot water tanks (steel),discharge efficiency,percent,control,2030,100.0
245,large hot water tank,large-scale hot water tanks (steel),discharge efficiency,percent,control,2040,100.0
246,large hot water tank,large-scale hot water tanks (steel),discharge efficiency,percent,control,2050,100.0
256,large hot water tank,large-scale hot water tanks (steel),auxiliary electricity consumption,percent,lower,2020,0.0
257,large hot water tank,large-scale hot water tanks (steel),auxiliary electricity consumption,percent,lower,2050,0.0
258,large hot water tank,large-scale hot water tanks (steel),auxiliary electricity consumption,percent,upper,2020,1.0
259,large hot water tank,large-scale hot water tanks (steel),auxiliary electricity consumption,percent,upper,2050,1.0
260,large hot water tank,large-scale hot water tanks (steel),auxiliary electricity consumption,percent,control,2015,1.0
261,large hot water tank,large-scale hot water tanks (steel),auxiliary electricity consumption,percent,control,2020,1.0
262,large hot water tank,large-scale hot water tanks (steel),auxiliary electricity consumption,percent,control,2030,1.0
263,large hot water tank,large-scale hot water tanks (steel),auxiliary electricity consumption,percent,control,2040,1.0
264,large hot water tank,large-scale hot water tanks (steel),auxiliary electricity consumption,percent,control,2050,1.0
265,large hot water tank,large-scale hot water tanks (steel),construction time,years,lower,2020,0.5
266,large hot water tank,large-scale hot water tanks (steel),construction time,years,lower,2050,0.5
267,large hot water tank,large-scale hot water tanks (steel),construction time,years,upper,2020,1.0
268,large hot water tank,large-scale hot water tanks (steel),construction time,years,upper,2050,1.0
269,large hot water tank,large-scale hot water tanks (steel),construction time,years,control,2015,0.5
270,large hot water tank,large-scale hot water tanks (steel),construction time,years,control,2020,0.5
